instance_id,workload,seed,variant,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,any_violation,violations,committed_count,operation_count,repair_count,oracle_version,oracle_match,allowed_outcome_count,oracle_mismatches
atomic_multi_write_seed_0,atomic_multi_write,0,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_0,atomic_multi_write,0,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_0,atomic_multi_write,0,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_0,atomic_multi_write,0,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_0,atomic_multi_write,0,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_1,atomic_multi_write,1,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_1,atomic_multi_write,1,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_1,atomic_multi_write,1,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_1,atomic_multi_write,1,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_1,atomic_multi_write,1,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_2,atomic_multi_write,2,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_2,atomic_multi_write,2,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_2,atomic_multi_write,2,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_2,atomic_multi_write,2,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_2,atomic_multi_write,2,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_3,atomic_multi_write,3,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_3,atomic_multi_write,3,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_3,atomic_multi_write,3,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_3,atomic_multi_write,3,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_3,atomic_multi_write,3,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_4,atomic_multi_write,4,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_4,atomic_multi_write,4,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_4,atomic_multi_write,4,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_4,atomic_multi_write,4,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_4,atomic_multi_write,4,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_5,atomic_multi_write,5,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_5,atomic_multi_write,5,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
atomic_multi_write_seed_5,atomic_multi_write,5,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_5,atomic_multi_write,5,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_5,atomic_multi_write,5,TxnMem,aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,,0,3,0,0.1,1,1,
atomic_multi_write_seed_6,atomic_multi_write,6,Naive,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,atomicity_violation,1,3,0,0.1,0,1,transaction_state;committed_memory_ids;visible_memory_ids
